#,Satellite[6],Launch date (UTC),Launch site,Carrier rocket[7],PRN[8],Orbit[9],Status[8][9],Remarks
5,Compass-IGSO1,31 July 2010 21:30,"Xichang, LC-3",Long March 3A,C06,55° inclination IGSO 118° E,Operational,BeiDou-2
6,Compass-G4,31 October 2010 16:26,"Xichang, LC-2",Long March 3C,C04,GEO 160.0° E,Operational,BeiDou-2
7,Compass-IGSO2,17 December 2010 20:20,"Xichang, LC-3",Long March 3A,C07,55° inclination IGSO 118° E,Operational,BeiDou-2
8,Compass-IGSO3,9 April 2011 20:47,"Xichang, LC-3",Long March 3A,C08,55° inclination IGSO 118° E,Operational,BeiDou-2
9,Compass-IGSO4,26 July 2011 21:44,"Xichang, LC-3",Long March 3A,C09,55° inclination IGSO 95° E,Operational,BeiDou-2
10,Compass-IGSO5,1 December 2011 21:07,"Xichang, LC-3",Long March 3A,C10,55° inclination IGSO 95° E,Operational,BeiDou-2
11,Compass-G5,24 February 2012 16:12,"Xichang, LC-2",Long March 3C,C05,GEO 58.75° E,Operational,BeiDou-2
12,Compass-M3,29 April 2012 20:50,"Xichang, LC-2",Long March 3B,C11,"MEO ~21,500 km, Slot A07",Operational,BeiDou-2
13,Compass-M4,29 April 2012 20:50,"Xichang, LC-2",Long March 3B,C12,"MEO ~21,500 km, Slot A08",Operational,BeiDou-2
15,Compass-M6,18 September 2012 19:10,"Xichang, LC-2",Long March 3B,C14,"MEO ~21,500 km, Slot B04",Operational,BeiDou-2
16,Compass-G6,25 October 2012 15:33,"Xichang, LC-2",Long March 3C,C02,GEO 80° E,Operational,"BeiDou-2, last satellite of the second generation[12]"
22,Compass-IGSO6,29 March 2016 20:11,"Xichang, LC-2",Long March 3A,C13,55° inclination IGSO 95° E,Operational,"BeiDou-2, for reliability redundancy improving, formerly PNR C15[11]"
23,Compass-G7,12 June 2016 15:30,"Xichang, LC-3",Long March 3C,C03,GEO 110.5° E,Operational,"BeiDou-2, for reliability redundancy improving"
24,BeiDou-3 M1,5 November 2017 11:45,"Xichang, LC-2",Long March 3B/YZ-1,C19,"MEO ~21,500 km, Slot B07",Operational,"BeiDou-3, third generation navigation satellite. PRN C19 used until 12 June 2018.[11]"
25,BeiDou-3 M2,5 November 2017 11:45,"Xichang, LC-2",Long March 3B/YZ-1,C20,"MEO ~21,500 km, Slot B08",Operational,BeiDou-3
